status,pattern_type,priority,project_code,sheet,column,category,reconstructed_missing,original_missing,affected_values,example_original,example_reconstructed,explanation,review_recommendation,assessment
checked; no issue,row_count,HIGH,GAZP5,trtrates,,row_loss,TRUE,FALSE,1351,4308 rows,2957 rows,Fewer reconstructed rows exist than source rows; import deduplication or many-to-one normalization may have collapsed records.,Review source duplicates and import distinct()/join logic.,"not a true loss of rows - many of the seed mixes were applied twice at the same rates in the same moment (broadcast + drill). They collapsed to individual rows in the treatment rates, but are still captured in the treatment information as an event that included both a broadcast application and a drill application"
import error,field_value,HIGH,GAZP2,timepoints,month,possible_upload_loss,TRUE,FALSE,72,4 | 7,,The source value is populated but the reconstructed Supabase value is missing.,Review representative rows and import code now.,
import error,field_value,HIGH,GAZP1,timepoints,month,possible_upload_loss,TRUE,FALSE,20,2,,The source value is populated but the reconstructed Supabase value is missing.,Review representative rows and import code now.,
original data error,row_count,HIGH,GAZP1,treatments,,row_loss,TRUE,FALSE,20,120 rows,100 rows,Fewer reconstructed rows exist than source rows; import deduplication or many-to-one normalization may have collapsed records.,Review source duplicates and import distinct()/join logic.,
import error,field_value,HIGH,GAZP3,timepoints,month,possible_upload_loss,TRUE,FALSE,9,3 | 6,,The source value is populated but the reconstructed Supabase value is missing.,Review representative rows and import code now.,
output issue,field_value,HIGH,GAZP2,study,timepoints,timing_discrepancy,FALSE,FALSE,1,2,6,Timing values derived from uploaded results do not agree with source project metadata.,Review representative rows and import code now.,
original data error,field_value,HIGH,GAZP2,study,tsrlast,timing_discrepancy,FALSE,FALSE,1,25,29,Timing values derived from uploaded results do not agree with source project metadata.,Review representative rows and import code now.,
original data error,field_value,HIGH,GAZP3,study,tsrfirst,timing_discrepancy,FALSE,FALSE,1,8,12,Timing values derived from uploaded results do not agree with source project metadata.,Review representative rows and import code now.,
original data error,field_value,HIGH,GAZP3,study,tsrlast,timing_discrepancy,FALSE,FALSE,1,104,76,Timing values derived from uploaded results do not agree with source project metadata.,Review representative rows and import code now.,
output issue,field_value,HIGH,GAZP5,study,timepoints,timing_discrepancy,FALSE,FALSE,1,1,21,Timing values derived from uploaded results do not agree with source project metadata.,Review representative rows and import code now.,
output issue,mapping_status,MEDIUM,GAZP5,trtrates,cultivar_mapping_status,missing_reverse_mapping,,,2957,,not_applicable_or_no_reverse_mapping,No repository crosswalk entry reverses this SQL identifier.,Resolve the mapping rule once for the affected identifier group.,
output issue,mapping_status,MEDIUM,GAZP5,vegresults,species_mapping_status,reverse_mapping_ambiguity,,,1386,,ambiguous_multiple_legacy_codes,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
output issue,mapping_status,MEDIUM,GAZP5,vegresults,reconstruction_status,reverse_mapping_ambiguity,,,1386,,partial; species code ambiguous or absent,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
output issue,mapping_status,MEDIUM,GAZP5,trtrates,species_mapping_status,reverse_mapping_ambiguity,,,902,,ambiguous_multiple_legacy_codes,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
