"item","current_harmonized_state","preprocessed_state","affected_rows","basis"
"response","density-like values standardized to 1 m2","raw seedling counts",1220,"Raw-value reconciliation; passive rows use the reviewed 2016 inverse factor."
"responsemetric","density","abundance",1220,"Raw observations are counts; area remains in measurementscale."
"passive 2016 measurement scale","11_50 retained 0.125 m2","all passive 2016 rows use 0.25 m2",60,"Contributor documentation states that 2016 sampling used 50x50 cm quadrats."
"passive area identifiers","11_25 and 11_50 shared block/replicate labels","treatment-specific passive blocks",196,"Prevents distinct passive source groups from collapsing into the same sampling areas without interpreting their treatment meaning."
"study.surveyunit","1|0.25","0.125|0.25",1,"25x50 cm in 2015 and 50x50 cm in 2016."
"active block/replicate","synthetic block=1 and treatment-local sequence","year-source ID-Rep block and distance-quadrat replicate",1024,"Restores all retained source sampling identifiers without key collisions and prevents unsupported cross-year alignment."
"grazing timing","Fall and Spring collapsed as Grazed","Fall, Spring, and Ungrazed retained",522,"Raw Her_Grazed field."
"treatment structure","48 seeded IDs: 24 Grazed plus 24 Ungrazed","72 seeded IDs: 24 Fall, 24 Spring, 24 Ungrazed",72,"Separates grazing timing without changing seeding combinations."
"Spring observation timepoints","No timepoint rows for new Spring IDs","2016 timepoint cloned for IDs 11_51 through 11_74",24,"Provides explicit timepoint keys for all Spring observations."
"planned irrigation","implicit source grouping","not represented as an applied treatment",0,"Contributor confirmed irrigation never occurred."
